Region,Condition,Rooms,Rent,Year_Construction,Space
BTM,first_time_use,3,1760.37,1917,100.65
Hebbal,first_time_use,2,1191.35,2017,52.48
Marathhalli,first_time_use,3,2280,2018,73
Hebbal,first_time_use,4,4450,2013,152.7
WillsonGarden,first_time_use,3,1558,2014,76
Banashankari,mint_condition,2,1174.25,2019,46.97
Hebbal,no_information,3,1519,1900,95.9
Hebbal,mint_condition,2,1650,1998,67.55
Marathhalli,first_time_use,4,2499.59,2019,122.83
Marathhalli,first_time_use,3,1997.37,2019,95.34
BTM,first_time_use,2,1095,2020,66
Marathhalli,first_time_use,3,2073.32,2019,99.44
Hebbal,refurbished,3,1783.08,1915,68.58
Marathhalli,first_time_use,2,1358.64,2019,66.6
Marathhalli,first_time_use,2,1834,1900,100.93
Marathhalli,first_time_use,2,1327.99,2019,64.78
Marathhalli,fully_renovated,1,1163,1990,52.85
BasaweshwarNagar,mint_condition,5,2575,2019,150
Marathhalli,first_time_use,2,1356.04,2019,66.31
Marathhalli,no_information,3,2427,1990,108.13
ElectronicCity,no_information,2,1202,1969,57.4
Marathhalli,fully_renovated,3,2555,1998,125.49
Hebbal,mint_condition,1,1250.06,2015,52.24
WillsonGarden,first_time_use,2.5,1529,2018,71
Hebbal,refurbished,3,5936.4,2018,131.92
Hebbal,refurbished,3,5936.4,2018,131.92
Hebbal,refurbished,3,4747.6,2018,110.41
Basavangudi,first_time_use,2,1800,2019,85
Hebbal,refurbished,3,4747.6,2018,110.41
Basavangudi,mint_condition,3,2650,2010,123
Hebbal,refurbished,3,4747.6,2018,110.41
Banashankari,first_time_use,4,2138.68,2020,118.44
Banashankari,first_time_use,2,1189.09,2020,57.96
Banashankari,first_time_use,2,929.34,2020,50.65
Marathhalli,first_time_use,3,1960.8,2019,98.04
Yalahanka,mint_condition,3,2150,2010,95.8
BTM,no_information,3,1124,2019,65.79
Banashankari,first_time_use,2,896.46,2020,50.2
Banashankari,first_time_use,4,2033.1,2020,113.06
ElectronicCity,no_information,2,1031,1969,48.99
Marathhalli,first_time_use,3,2039.3,2019,91.04
Hebbal,mint_condition,1,398,2017,18
Hebbal,well_kept,3,1800,2013,80.95
Marathhalli,first_time_use,3,2075.12,2019,100.49
Marathhalli,first_time_use,3,2067.77,2019,98.7
Marathhalli,first_time_use,2,1347.51,2019,66.38
Basavangudi,well_kept,3,2162,1984,107
Marathhalli,first_time_use,3,2041,2019,96.73
Banashankari,first_time_use,2,1320.73,2020,68.17
WillsonGarden,mint_condition,3,1700,2016,84
Banashankari,first_time_use,3.5,1429.1,2020,82.05
Marathhalli,first_time_use,3,2007.02,2019,96.26
Banashankari,first_time_use,2,868.06,2020,49.19
Marathhalli,first_time_use,2,1326.61,2019,65.35
Marathhalli,first_time_use,3,2020.99,2019,96.93
Marathhalli,first_time_use,3,2031.52,2019,96.97
Marathhalli,first_time_use,3,2508.24,2019,119.44
Yalahanka,first_time_use_after_refurbishment,4,2125,1902,130
WillsonGarden,first_time_use,2,1410,1966,47
Marathhalli,first_time_use,3,1841.68,2019,86.06
Marathhalli,first_time_use,4,2130.96,2019,92.05
Marathhalli,first_time_use,4,2525.97,2019,107.26
Marathhalli,first_time_use,2,1627.11,2019,76.57
WillsonGarden,first_time_use,2,1410,1966,47
Marathhalli,first_time_use,3,1774.43,2019,81.96
Marathhalli,first_time_use,3,1768.29,2019,84.81
Marathhalli,first_time_use,3,2280,2018,73
Hebbal,mint_condition,4,4678.3,2015,212.3
Marathhalli,first_time_use,3,1788.57,2019,81.67
Marathhalli,first_time_use,5,2851.96,2019,121.36
Basavangudi,well_kept,5,3160,1988,169.53
Hebbal,refurbished,2,1488.25,1915,59.53
Marathhalli,first_time_use,3,1869.56,2019,84.98
Marathhalli,first_time_use_after_refurbishment,3,2200,1885,84
Hebbal,no_information,3,1814.85,2016,98.7
Basavangudi,well_kept,2,3250,1911,173.79
Bannerghatta,first_time_use,3,1720,2018,116.35
Marathhalli,no_information,3,2175,1990,101.02
Hebbal,first_time_use,2,1449.24,2019,54.05
Hebbal,refurbished,2,1756.36,2018,50.18
Hebbal,first_time_use,3,5322.5,2019,123
BTM,first_time_use,3,1958.69,1917,112.31
Hebbal,refurbished,2,2288.06,2018,65.37
Marathhalli,first_time_use,3,2436.48,2019,101.52
Hebbal,refurbished,2,2356.2,2018,67.32
Yalahanka,mint_condition,3,2525,1910,170
Marathhalli,first_time_use,3,2283.98,2019,101.51
Hebbal,first_time_use,2,6022.5,2019,123
Marathhalli,first_time_use,3,1788.14,2019,81.65
Hebbal,refurbished,2,2488.26,2018,71.09
Basavangudi,first_time_use,1,929,2019,28.45
Hebbal,no_information,2,1897.95,1997,111.34
Marathhalli,first_time_use,3,2107.43,2019,98.02
Hebbal,first_time_use,4,2982.41,1900,129.67
Marathhalli,first_time_use,4,2130.96,2019,92.05
BasaweshwarNagar,mint_condition,3,1755,2008,101.46
Marathhalli,first_time_use,3,1839.78,2019,81.95
Hebbal,first_time_use,2,3230,2019,68
Marathhalli,first_time_use,3,1846.87,2019,81.72
BTM,first_time_use,1,525,2019,22
Marathhalli,first_time_use,4,2158.01,2019,92.42
Marathhalli,first_time_use,3,1774.43,2019,81.96
Marathhalli,first_time_use,4,2119.62,2019,92.56
Marathhalli,first_time_use,4,2525.97,2019,107.26
Marathhalli,first_time_use,3,1959.27,2019,93.97
Marathhalli,first_time_use,4,2642.69,2019,122.29
Marathhalli,first_time_use,3,2622.9,2019,121.15
ElectronicCity,modernized,3,1383.23,1918,128.81
BasaweshwarNagar,refurbished,4,2069.26,1914,82.77
WillsonGarden,well_kept,7,5876.35,1912,300
Marathhalli,first_time_use,3,1833.98,2019,85.7
Marathhalli,first_time_use,3,2440.56,2019,101.69
Marathhalli,no_information,3,2286,1990,110.75
Marathhalli,first_time_use,5,2851.96,2019,121.36
Hebbal,fully_renovated,1,1200,2014,55
Hebbal,first_time_use,3,2105,2018,90.02
Hebbal,first_time_use,3,1931.26,2018,80.78
WillsonGarden,first_time_use,2.5,1716,1936,90.4
Marathhalli,first_time_use,3,1774.15,2019,81.57
Marathhalli,no_information,3,2630,1998,142.35
Basavangudi,first_time_use_after_refurbishment,2,1349,1970,51
Basavangudi,no_information,4,2500,1896,173.14
Marathhalli,first_time_use,3,2508.24,2019,119.44
Marathhalli,first_time_use,4,2065.06,2019,97.87
Basavangudi,refurbished,3,1567.39,1994,88.19
BasaweshwarNagar,no_information,2,1367,1911,66.33
Basavangudi,first_time_use_after_refurbishment,1.5,1099,1970,43
Hebbal,no_information,3,1561.65,2016,86.91
Hebbal,mint_condition,5,14207,2015,413.91
Marathhalli,first_time_use,3,1757.11,2019,84.68
Basavangudi,refurbished,2,1063,1978,69.5
Yalahanka,first_time_use_after_refurbishment,2,1399,1874,50
Marathhalli,first_time_use,3,2497.38,2019,111.49
Bannerghatta,first_time_use,3,1697,2018,115.35
Hebbal,first_time_use,3,2260.46,2019,101.43
Marathhalli,first_time_use,4,2264.83,2019,104.13
Marathhalli,first_time_use,4,2747.36,2019,122.65
Hebbal,mint_condition,3,1990,2014,80
BasaweshwarNagar,no_information,1,1395,1906,52
Marathhalli,first_time_use,3,2198.75,2019,108.58
Marathhalli,fully_renovated,3,2555,1998,125.46
Marathhalli,first_time_use,3,2198.97,2019,108.86
Marathhalli,first_time_use,3,1768.29,2019,84.81
BasaweshwarNagar,refurbished,1,869,1903,30
BasaweshwarNagar,no_information,2,1294,1906,42.52
BasaweshwarNagar,first_time_use,2,1100,2017,30
BasaweshwarNagar,no_information,2,1321,1906,49.9
Hebbal,first_time_use,2,1314.15,2018,40.32
WillsonGarden,first_time_use,3,2390,2019,100.46
Hebbal,first_time_use,1,899,2018,30.98
Yalahanka,no_information,2,1236.5,1900,46.02
Hebbal,first_time_use,4,3706.83,2018,141.26
Bannerghatta,mint_condition,3,1550,2015,100
Marathhalli,refurbished,1,660,1904,25
Yalahanka,no_information,1,914,1900,33.7
Hebbal,first_time_use,4,2555.59,2018,91.72
BasaweshwarNagar,no_information,4,2740,1906,99.65
WillsonGarden,mint_condition,3,1793,1905,110
Yalahanka,no_information,2,1266,1900,47.13
Yalahanka,no_information,2,1282.5,1900,44.4
Hebbal,first_time_use,2,1454.74,2018,54.97
Marathhalli,first_time_use,3,2439.6,2018,103.6
Yalahanka,mint_condition,2,1970,2019,85.6
Hebbal,mint_condition,3,2811.38,2015,124.95
Hebbal,mint_condition,1,655,2017,23.16
Marathhalli,mint_condition,2,1524,2018,45
BasaweshwarNagar,well_kept,2,1489,1901,73.41
Hebbal,mint_condition,3,2300,2014,99.47
WillsonGarden,mint_condition,3,2129,2019,96.6
Hebbal,well_kept,2,1350,2014,68
Hebbal,well_kept,3,3500,2009,165
Yalahanka,no_information,1,843,1900,32.2
BasaweshwarNagar,no_information,2,1357.46,2016,59.8
Banashankari,mint_condition,3,1007,2017,79.87
ElectronicCity,mint_condition,1,610,2018,21
Hebbal,mint_condition,4,3925,2016,138
BasaweshwarNagar,mint_condition,1,1283.71,2016,54.59
ElectronicCity,mint_condition,1,622,2015,19.22
BasaweshwarNagar,fully_renovated,2,1366,1996,46
ElectronicCity,mint_condition,1,780,2018,26
ElectronicCity,mint_condition,1,741,2017,20.5
ElectronicCity,mint_condition,1,771,2017,20.5
Hebbal,mint_condition,4,4040,2015,176.5
Marathhalli,no_information,3,1728,1895,94.65
ElectronicCity,no_information,2,1079,1969,50.79
Hebbal,no_information,1.5,770,1997,35
Marathhalli,first_time_use,3,2180,2018,85
ElectronicCity,mint_condition,1,720,2017,20.5
Hebbal,no_information,3,2155.5,1879,86.42
BasaweshwarNagar,modernized,1,577,1908,48.47
ElectronicCity,mint_condition,1,772,2017,20.5
Marathhalli,well_kept,4,1970,1900,127
BTM,modernized,2,693,1905,57
ElectronicCity,mint_condition,1,959,2017,27.8
ElectronicCity,mint_condition,1,649,2017,20.5
WillsonGarden,mint_condition,4,2750,2017,110
Bannerghatta,well_kept,2,1259,2017,91.2
BTM,fully_renovated,2,888,1990,68.48
